ID;Sorting_completed_YN;Sorting_house;Sorting_house_wish;age;occupation;gender;Country_C_G_O;Bravery;Hardwork;Intelligence;Ambition;Daring;Dedication;Knowledge;Cunning;Extraverted;Agreeable;Clever;Manipulative;SD3_Machiavellianism;SD3_Narcissism;SD3_Psychopathy;IPIP_Extraversion;IPIP_Agreeableness;IPIP_Conscientiousness;IPIP_EmStability;IPIP_Intellect;PVQ_01;PVQ_02;PVQ_03;PVQ_04;PVQ_05;PVQ_06;PVQ_07;PVQ_08;PVQ_09;PVQ_10;PVQ_11;PVQ_12;PVQ_13;PVQ_14;PVQ_15;PVQ_16;PVQ_17;PVQ_18;PVQ_19;PVQ_20;PVQ_21;PVQ_22;PVQ_23;PVQ_24;PVQ_25;PVQ_26;PVQ_27;PVQ_28;PVQ_29;PVQ_30;PVQ_31;PVQ_32;PVQ_33;PVQ_34;PVQ_35;PVQ_36;PVQ_37;PVQ_38;PVQ_39;PVQ_40;PVQ_41;PVQ_42;PVQ_43;PVQ_44;PVQ_45;PVQ_46;PVQ_47;PVQ_48;PVQ_49;PVQ_50;PVQ_51;PVQ_52;PVQ_53;PVQ_54;PVQ_55;PVQ_56;PVQ_57
628;Yes;Ravenclaw;Ravenclaw;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Slytherin;Hufflepuff;Ravenclaw;Hufflepuff;18;19;11;23;35;40;30;44;5;6;6;6;6;4;6;6;5;5;6;2;6;6;6;6;6;6;6;3;4;4;6;5;6;6;6;5;2;5;6;6;6;6;6;6;6;6;6;6;2;6;6;2;5;6;3;3;2;3;5;6;4;6;6;6;6
670;Yes;Hufflepuff;Hufflepuff;16;Pupil;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Hufflepuff;Slytherin;Hufflepuff;Ravenclaw;Slytherin;14;13;13;27;47;42;28;34;4;4;3;6;5;2;2;5;1;3;4;1;6;6;5;5;4;1;4;2;2;2;6;3;4;3;6;2;1;4;6;3;1;6;6;3;6;3;6;1;1;4;3;1;6;1;2;2;1;3;2;6;2;3;5;6;6
687;Yes;Slytherin;Slytherin;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;30;26;21;21;40;38;28;38;4;6;5;3;2;4;4;3;4;6;5;6;6;3;4;6;6;5;5;4;5;2;6;5;5;6;6;6;4;6;4;6;6;6;6;6;3;4;6;4;4;4;6;1;2;2;2;4;4;5;2;3;3;2;5;6;4
694;Yes;Ravenclaw;Slytherin;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;31;28;27;30;32;20;27;31;4;4;5;1;3;1;6;6;6;5;5;1;6;6;5;5;5;4;4;1;5;1;5;5;5;5;5;5;1;4;3;4;1;3;4;6;4;4;4;3;1;6;4;1;5;5;4;4;6;6;4;4;3;3;6;6;6
709;Yes;Gryffindor;Hufflepuff;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Slytherin;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;23;22;21;29;40;33;31;41;6;6;5;5;6;2;6;5;5;5;6;1;5;6;3;6;5;1;5;2;3;3;6;3;5;5;6;6;1;2;2;3;2;6;3;4;6;6;5;2;1;3;6;2;5;5;4;3;3;3;2;6;2;5;5;6;6
723;Yes;Gryffindor;Slytherin;16;Student;Male;Others;Gryffindor;Ravenclaw;Hufflepuff;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Hufflepuff;Ravenclaw;Slytherin;40;31;25;30;39;38;27;43;4;5;5;4;4;5;4;4;6;5;6;6;6;4;4;5;5;4;6;6;0;5;5;6;6;6;6;5;6;5;4;6;4;5;5;6;4;6;5;4;6;5;6;4;4;6;6;6;6;5;6;6;5;5;6;6;4
746;Yes;Hufflepuff;Hufflepuff;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;27;28;21;22;42;35;27;45;3;5;5;4;5;2;2;6;5;2;5;3;3;5;5;5;5;2;5;3;5;2;4;3;4;5;6;2;2;3;4;3;2;3;4;5;5;5;3;5;3;3;3;2;6;4;3;3;5;3;2;3;3;2;5;4;2
752;Yes;Ravenclaw;Slytherin;16;Student;Female;Others;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;38;29;23;19;22;33;19;35;3;5;6;3;3;5;2;4;6;5;6;6;6;4;2;5;6;4;5;6;2;5;4;6;6;6;4;4;6;5;1;6;2;5;4;6;5;4;4;5;6;3;5;6;3;4;2;6;6;5;3;3;5;3;5;6;3
763;Yes;Slytherin;Slytherin;16;Student;Female;Others;Gryffindor;Ravenclaw;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Hufflepuff;Slytherin;Slytherin;Slytherin;39;22;22;21;31;26;28;35;4;4;5;4;3;5;4;3;5;4;5;6;6;3;4;5;5;4;6;5;3;1;5;3;5;6;6;2;6;4;4;6;4;5;4;4;4;4;5;3;4;6;4;5;3;3;4;4;6;3;3;3;4;4;5;6;2
790;Yes;Gryffindor;Hufflepuff;16;Student;Female;Others;Gryffindor;Slytherin;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Ravenclaw;Slytherin;Gryffindor;Hufflepuff;Hufflepuff;Slytherin;32;27;22;26;40;36;39;39;3;5;4;6;4;3;5;6;4;3;5;3;6;6;5;3;5;2;5;3;5;4;4;4;6;6;6;3;3;3;5;4;2;6;4;6;6;6;4;2;3;5;4;3;5;4;5;5;4;4;5;6;6;5;5;5;6
